"HT Wa 1600","HT Wa 1600","HT","Wa","1600.0","2"
"HT Wa 1603","HT Wa 1603","HT","Wa","1603.0","2"
"HT Wa 1608","HT Wa 1608","HT","Wa","1608.0","2"
"HT Wa 1610","HT Wa 1610","HT","Wa","1610.0","2"
"HT Wa 1612","HT Wa 1612","HT","Wa","1612.0","2"
"HT Wa 1613","HT Wa 1613","HT","Wa","1613.0","2"
"HT Wa 1614","HT Wa 1614","HT","Wa","1614.0","2"
"HT Wa 1623","HT Wa 1623","HT","Wa","1623.0","2"
"HT Wa 1624","HT Wa 1624","HT","Wa","1624.0","2"
"HT Wa 1625","HT Wa 1625","HT","Wa","1625.0","2"
"HT Wa 1631","HT Wa 1631","HT","Wa","1631.0","2"
"HT Wa 1639","HT Wa 1639","HT","Wa","1639.0","2"
"HT Wa 1654","HT Wa 1654","HT","Wa","1654.0","2"
"HT Wa 1658","HT Wa 1658","HT","Wa","1658.0","2"
"HT Wa 1659","HT Wa 1659","HT","Wa","1659.0","2"
"HT Wa 1669","HT Wa 1669","HT","Wa","1669.0","2"
"HT Wa 1710","HT Wa 1710","HT","Wa","1710.0","2"
"HT Wa 1720","HT Wa 1720","HT","Wa","1720.0","2"
"HT Wa 1723","HT Wa 1723","HT","Wa","1723.0","2"
"HT Wa 1725","HT Wa 1725","HT","Wa","1725.0","2"
"HT Wa 1734","HT Wa 1734","HT","Wa","1734.0","2"
"HT Wa 1747","HT Wa 1747","HT","Wa","1747.0","2"
"HT Wa 1751","HT Wa 1751","HT","Wa","1751.0","2"
"HT Wa 1753","HT Wa 1753","HT","Wa","1753.0","2"
"HT Wa 1754","HT Wa 1754","HT","Wa","1754.0","2"
"HT Wa 1758","HT Wa 1758","HT","Wa","1758.0","2"
"HT Wa 1764","HT Wa 1764","HT","Wa","1764.0","2"
"HT Wa 1766","HT Wa 1766","HT","Wa","1766.0","2"
"HT Wa 1793","HT Wa 1793","HT","Wa","1793.0","2"
"HT Wa 1805","HT Wa 1805","HT","Wa","1805.0","2"
"HT Wa 1809","HT Wa 1809","HT","Wa","1809.0","2"
"HT Wa 1813","HT Wa 1813","HT","Wa","1813.0","2"
"HT Wa 1816","HT Wa 1816","HT","Wa","1816.0","2"
"HT Wa 1849","HT Wa 1849","HT","Wa","1849.0","2"
"HT Wa 1850","HT Wa 1850","HT","Wa","1850.0","2"
"HT Wa 1851","HT Wa 1851","HT","Wa","1851.0","2"
"HT Wa 1852","HT Wa 1852","HT","Wa","1852.0","2"
"HT Wa 1853","HT Wa 1853","HT","Wa","1853.0","2"
"HT Wa 1854","HT Wa 1854","HT","Wa","1854.0","2"
"HT Wc 3001","HT Wc 3001","HT","Wc","3001.0","4"
"HT Wc 3001","HT Wc 3001-latus","HT","Wc","3001.0","2"
"HT Wc 3002","HT Wc 3002","HT","Wc","3002.0","4"
"HT Wc 3003","HT Wc 3003","HT","Wc","3003.0","4"
"HT Wc 3004","HT Wc 3004a","HT","Wc","3004.0","4"
"HT Wc 3004","HT Wc 3004b","HT","Wc","3004.0","2"
"HT Wc 3005","HT Wc 3005a","HT","Wc","3005.0","4"
"HT Wc 3005","HT Wc 3005b","HT","Wc","3005.0","2"
"HT Wc 3006","HT Wc 3006a","HT","Wc","3006.0","4"
"HT Wc 3006","HT Wc 3006b","HT","Wc","3006.0","4"
"HT Wc 3007","HT Wc 3007","HT","Wc","3007.0","4"
"HT Wc 3008","HT Wc 3008a","HT","Wc","3008.0","4"
"HT Wc 3008","HT Wc 3008b","HT","Wc","3008.0","5"
"HT Wc 3009","HT Wc 3009a","HT","Wc","3009.0","5"
"HT Wc 3009","HT Wc 3009b","HT","Wc","3009.0","2"
"HT Wc 3010","HT Wc 3010","HT","Wc","3010.0","6"
"HT Wc 3011","HT Wc 3011","HT","Wc","3011.0","4"
"HT Wc 3012","HT Wc 3012a","HT","Wc","3012.0","4"
"HT Wc 3012","HT Wc 3012b","HT","Wc","3012.0","3"
"HT Wc 3013","HT Wc 3013","HT","Wc","3013.0","2"
"HT Wc 3014","HT Wc 3014a","HT","Wc","3014.0","4"
"HT Wc 3014","HT Wc 3014b","HT","Wc","3014.0","3"
"HT Wc 3015","HT Wc 3015a","HT","Wc","3015.0","4"
"HT Wc 3015","HT Wc 3015b","HT","Wc","3015.0","2"
"HT Wc 3016","HT Wc 3016a","HT","Wc","3016.0","4"
"HT Wc 3016","HT Wc 3016b","HT","Wc","3016.0","3"
"HT Wc 3017","HT Wc 3017a","HT","Wc","3017.0","6"
"HT Wc 3017","HT Wc 3017b","HT","Wc","3017.0","2"
"HT Wc 3019","HT Wc 3019","HT","Wc","3019.0","2"
"HT Wc 3019","HT Wc 3019-latus","HT","Wc","3019.0","2"
"HT Wc 3020","HT Wc 3020a","HT","Wc","3020.0","3"
"HT Wc 3020","HT Wc 3020b","HT","Wc","3020.0","2"
"HT Wc 3022","HT Wc 3022","HT","Wc","3022.0","2"
"HT Zb 158","HT Zb 158a","HT","Zb","158.0","6"
"HT Zb 158","HT Zb 158b","HT","Zb","158.0","7"
"HT Zb 159","HT Zb 159","HT","Zb","159.0","7"
"HT Zb 160","HT Zb 160","HT","Zb","160.0","7"
"HT Zb 161","HT Zb 161","HT","Zb","161.0","3"
"HT Zd 155","HT Zd 155","HT","Zd","155.0","9"
"HT Zd 156","HT Zd 156","HT","Zd","156.0","12"
"HT Zd 157","HT Zd 157","HT","Zd","157.0","8"
"KE 1","KE 1","KE","1","","4"
"KE Zb 4","KE Zb 4","KE","Zb","4.0","4"
"KE Zb 5","KE Zb 5","KE","Zb","5.0","2"
"KH 1","KH 1","KH","1","","4"
"KH 10","KH 10","KH","10","","15"
"KH 100","KH 100","KH","100","","8"
"KH 11","KH 11","KH","11","","30"
"KH 12","KH 12","KH","12","","9"
"KH 13","KH 13","KH","13","","9"
"KH 14","KH 14","KH","14","","12"
"KH 15","KH 15","KH","15","","4"
"KH 16","KH 16","KH","16","","9"
"KH 17","KH 17","KH","17","","4"
"KH 18","KH 18","KH","18","","11"
"KH 19","KH 19","KH","19","","4"
"KH 2","KH 2","KH","2","","7"
"KH 20","KH 20","KH","20","","11"
"KH 21","KH 21","KH","21","","6"
"KH 22","KH 22","KH","22","","7"
"KH 23","KH 23","KH","23","","5"
"KH 24","KH 24","KH","24","","4"
"KH 25","KH 25","KH","25","","3"
"KH 26","KH 26","KH","26","","5"
"KH 27","KH 27","KH","27","","4"
"KH 28","KH 28","KH","28","","3"
"KH 29","KH 29","KH","29","","8"
"KH 3","KH 3","KH","3","","2"
"KH 30","KH 30","KH","30","","2"
"KH 31","KH 31","KH","31","","3"
"KH 32","KH 32","KH","32","","3"
"KH 33","KH 33","KH","33","","4"
"KH 34","KH 34","KH","34","","3"
"KH 35","KH 35","KH","35","","3"
"KH 36","KH 36","KH","36","","4"
"KH 37","KH 37","KH","37","","4"
"KH 38","KH 38","KH","38","","2"
"KH 39","KH 39","KH","39","","5"
"KH 4","KH 4","KH","4","","7"
"KH 40","KH 40","KH","40","","4"
"KH 41","KH 41","KH","41","","4"
"KH 42","KH 42","KH","42","","2"
"KH 43","KH 43","KH","43","","3"
"KH 44","KH 44","KH","44","","3"
"KH 45","KH 45","KH","45","","2"
"KH 46","KH 46","KH","46","","2"
"KH 47","KH 47","KH","47","","6"
"KH 49","KH 49","KH","49","","4"
"KH 5","KH 5","KH","5","","26"
"KH 50","KH 50","KH","50","","5"
"KH 51","KH 51","KH","51","","5"
"KH 52","KH 52","KH","52","","3"
"KH 53","KH 53","KH","53","","5"
"KH 54","KH 54","KH","54","","3"
"KH 55","KH 55","KH","55","","3"
"KH 56","KH 56","KH","56","","1"
"KH 57","KH 57","KH","57","","5"
"KH 58","KH 58","KH","58","","9"
"KH 59","KH 59","KH","59","","4"
"KH 6","KH 6","KH","6","","32"
"KH 60","KH 60","KH","60","","10"
"KH 61","KH 61","KH","61","","8"
"KH 62","KH 62","KH","62","","2"
"KH 63","KH 63","KH","63","","3"
"KH 64","KH 64","KH","64","","4"
"KH 65","KH 65","KH","65","","2"
"KH 66","KH 66","KH","66","","1"
"KH 67","KH 67","KH","67","","2"
"KH 68","KH 68","KH","68","","4"
"KH 69","KH 69","KH","69","","2"
"KH 70","KH 70","KH","70","","3"
"KH 72","KH 72","KH","72","","2"
"KH 73","KH 73","KH","73","","8"
"KH 74","KH 74","KH","74","","8"
"KH 75","KH 75","KH","75","","7"
"KH 76","KH 76","KH","76","","5"
"KH 77","KH 77","KH","77","","4"
"KH 78","KH 78","KH","78","","1"
"KH 79","KH 79","KH","79","","4"
"KH 79+89","KH 79+89","KH","79+89","","11"
"KH 7a","KH 7a","KH","7a","","30"
"KH 7b","KH 7b","KH","7b","","13"
"KH 8","KH 8","KH","8","","16"
"KH 80","KH 80","KH","80","","4"
"KH 81","KH 81","KH","81","","4"
"KH 82","KH 82","KH","82","","5"
"KH 83","KH 83","KH","83","","6"
"KH 84","KH 84","KH","84","","7"
"KH 85","KH 85","KH","85","","10"
"KH 86","KH 86","KH","86","","14"
"KH 88","KH 88","KH","88","","9"
"KH 9","KH 9","KH","9","","17"
"KH 90","KH 90","KH","90","","8"
"KH 91","KH 91","KH","91","","14"
"KH 92","KH 92","KH","92","","12"
"KH 94","KH 94","KH","94","","4"
"KH 95","KH 95","KH","95","","3"
"KH 96","KH 96","KH","96","","4"
"KH 97","KH 97","KH","97","","6"
"KH 97a","KH 97a","KH","97a","","5"
"KH 97b","KH 97b","KH","97b","","4"
"KH 99","KH 99","KH","99","","11"
"KH Wa 1001","KH Wa 1001α","KH","Wa","1001.0","2"
"KH Wa 1001","KH Wa 1001γ","KH","Wa","1001.0","2"
"KH Wa 1002","KH Wa 1002α","KH","Wa","1002.0","2"
"KH Wa 1002","KH Wa 1002γ","KH","Wa","1002.0","2"
"KH Wa 1003","KH Wa 1003","KH","Wa","1003.0","4"
"KH Wa 1004","KH Wa 1004","KH","Wa","1004.0","3"
"KH Wa 1005","KH Wa 1005","KH","Wa","1005.0","2"
